Client_ID,Full_Name,Email_Address,Contact_No,Residence,DOB,Transaction_Amount,Transaction_Date
c2fa1da8-7830-4631-b8f0-188efb37afae,Sudanne Wood,hartjeffrey@gmail.lom,489964235o,"8547 Murray Street, Garyside, HI 7u559",05/09/2006,1719.68,2024-09-06
6a396c71-b276-4469-b6f9-57dcab6da9ab,Amanda Lawrence,brandismith@miller.com,(328)094-4858x6239,"4614 Johnson Rapids, Harrisville, MS 14490",07/05/1989,9392.98,2024-12-05
782ccfec-9e5d-48a1-85bd-b49544d44eca,Luis Richardson,mbarnes@spencer-gray.org,001-962-697-0838,"8791 Johnson Unions, Whitemouth, CA 75126",11/20/1969,7439.12,2024-12-14
143df5b3-a58e-43dd-948c-1d84340de049,Sarah Davis,adamsemily@williams.org,001-837-354-0331x7393,"546 Ferguson Knolls, Josehaven, NM 61581",09/02/1945,6095.22,2024-11-07
fb8986c8-c7ec-4e71-9493-47fc0fc98d2e,Craig Morales,samantha10@gonzalez.info,(151)070-2966,"625 Rebekah Harbor Suite 720, Lake Kenneth, OH 63288",02/10/1943,9146.33,2024-02-04
5408f9ac-6601-4dd0-b170-f437a8f7ef5a,Benjamin Ayala,ifrazier@yahoo.com,1429401965,"9816 Jonathan Station Suite 088, West Ryan, MA 82179",04/28/1960,2194.19,2024-09-14
ee56aea4-c76e-4e04-9b64-ef325aa288e1,Robert Ballard,kellywilliams@hotmail.com,(496)683-4960x47842,"85162 Tina Knolls, Port Crystal, ND 72159",06/22/1947,8484.88,2024-01-01
70ecf41b-c5d5-4016-91b3-ccf588433a38,Denise Moore,mullenanita@clark.net,424-932-1495x87020,"60166 Janet Ramp, Jensenport, ID 93942",07/28/1990,4758.07,2024-09-17
638cf9e3-0599-41f2-8cd3-654cb68bbbc6,Heather Smith,fblankenship@yahoo.com,534-547-2239x898,"5031 Christopher Square, West Christianview, FL 38925",08/07/1948,26.9,2024-11-29
9b4503bc-e892-464d-87b8-85fa78d8cdd6,Cody Vaughan,kevin10@hotmail.com,+1-255-598-9534,"12910 James Mission Apt. 189, Kevinfort, ID 70435",01/04/1988,2359.69,2024-02-29
ceb380ac-e223-4389-b23e-d1fc9b9f9efe,Angela Stafford,ustewart@gmail.com,077.046.1172,"90409 Rhonda Haven Apt. 608, West Deannaland, CT 54906",03/06/1988,2139.41,2024-04-26
fc3d3348-008d-4127-a104-61e32a25a888,Timothy Glover,uhorton@hotmail.com,+1-723-430-9805x00978,"PSC 8208, Box 1219, APO AE 89002",08/10/1997,8922.87,2024-04-01
e0736c70-6c20-4d89-b7a6-9c32552d4865,Ashlee Martin,bellcarrie@hotmail.com,001-570-027-2063x4591,"296 Hayes Well, West Glenn, MD 37436",06/24/1952,4316.2,2024-02-02
ff018ec6-dec7-4f9e-bed6-491482330e6e,Karen Yoder,brendamason@hotmail.com,(672)872-7601x534,"9135 Stevens Route, Port Juliehaven, IN 97674",09/28/1952,8608.42,2024-05-21
d76f0813-4ce7-44d7-a724-b119af2f32a7,Jeffrey Carroll,palmerwilliam@davis-guerrero.org,549-180-1722x601,"9779 Peterson Well Apt. 321, Monicaville, ND 02849",05/12/1939,4032.19,2024-06-02
92aef13c-963b-4564-85e5-14ff399557cb,mRS. mELISSA dAVIS,PWASHINGTON@HAMILTON.COM,001-826-068-8871X898,"12920 mCBRIDE cROSSING, eAST bAILEYBURGH, oh 34155",1996-11-25,5845.93,2024-10-19
fe0d40b4-6949-4671-be55-33bae8a2f417,Barbara Wood,,,"7771 Amy Gardens, Taylorview, GA 22860",01/08/1996,2659.38,2024-01-08
a32c5e99-fd26-441b-a21a-7c4e60ac4a64,Christina King,jeremiah26@hotmail.com,190.130.2056,"2873 Ashley Mountains, Michaelside, DC 09303",10/29/1968,3000.79,2024-06-15
981262ac-5683-4de0-97d5-b563fa60ede1,Dr. Michele Reynolds,gmoore@harris-lee.net,001-844-431-0698x7205,"9731 Jamie Route, Tiffanyfort, DE 40917",05/16/1992,2634.79,2024-06-03
3fa60025-656e-4170-bd1a-2704880136fc,Joseph Martinez,rjordan@bonilla-barker.com,001-897-015-5029x1681,"6024 Mary Meadows Apt. 394, Christinaside, WY 32450",03/16/1986,8347.6,2024-11-06
b043a39a-4f1a-44cb-a35b-275bdcd28b97,Kelly Taylor,lonniegrant@wilson.com,001-566-474-2312x20994,"330 Miller Tunnel, Andersonfort, SD 49516",06/25/1951,588.67,2024-11-26
d02094d6-0c3c-43d3-b801-a8bf1467b73a,Heather Schmidt,zevans@yahoo.com,(130)096-2588,"6947 James Points Apt. 533, Mooremouth, NE 52094",09/07/1968,4257.21,2024-11-15
a939ebd1-e516-40d4-bd35-72cc788fd0cd,Martin Hughes,cwood@gmail.com,774-349-0211x586,"Unit 9380 Box 6868, DPO AP 62737",12/07/1977,5850.01,2024-12-08
db842660-f5d8-4b91-ae60-81ac2dd0622e,Robert Klein,marcbutler@hotmail.com,419-518-0238x06174,"1870 Gonzalez Port Suite 937, Brittanyfort, WI 26115",10/21/1988,3153.63,2024-12-15
7ff4cec6-e7b7-44c6-9631-2a801c612ec2,Alexis Robertson,,,"3195 Bradley Plains, Lisaburgh, WI 90243",07/31/1970,5777.75,2024-09-27
233408ba-794e-4838-bdcf-60fd633098ed,Darrell Ortiz,stephanie33@jones.org,573.660.9656x9998,"177 Natalie Gardens, Terrellton, MS 68150",01/12/1991,8781.32,2024-09-01
57632e1e-008f-4ab9-b8c4-6b38a8ae57b9,Mark Mlrsh,williamsfrank@gmvil.com,0e1-614-933-1637x351,"917 Barremt Parkways, South Adam, AR 73013",2002-08-11,3822.38,2024-06-17
690f1c3c-69ff-4cc0-b4bc-405cffc19ef6,Ronald Simmons,housestephen@yahoo.com,(892)866-4649,"USS Cowan, FPO AE 12250",03/03/1983,3168.61,2024-01-07
fc424352-6d98-4038-b174-429ccffa9e4d,Chad Rosales,moorekurt@hall.com,(155)130-5570,"214 Mitchell Pike Suite 699, Thomasbury, NV 84036",08/22/1992,737.55,2024-06-20
39e1609d-4008-44da-a819-213dc4fa84a4,James Diaz,daniel77@taylor.biz,5313402665,"PSC 2374, Box 1678, APO AA 89857",07/28/1987,1866.39,2024-02-19
3c00a0f0-dcf8-4878-b3bb-84e533f7d722,Erig Oneal,jonathan12@phillius.com,907.89t.6776,"4602 Hall Rue Apt. 514, Port Joshuaburq, DE 09852",06/23/1963,2145.34,2024-01-15
4eea9db8-f165-4779-8154-7950176de21f,Philip Garcia,ryanhawkins@russell.com,+1-956-046-6183x982,"44472 Gary Harbor, Evansland, KS 32822",01/08/1988,9895.34,2024-08-30
e4fd6c34-d670-4a21-a9dc-073e5820b3f2,Ronald Davis,kwilliams@vincent.com,+1-346-800-7229x03494,"6574 Steven Springs Suite 910, Annaport, TX 14670",09/29/1971,9975.4,2024-01-25
8bc15738-ff1b-46a0-a8ec-b6a17233bf8c,Dennis Jones,cwilson@harris.com,001-605-080-1849x8042,"3377 Lewis Extensions, Transide, CA 19652",05/10/1984,3143.64,2024-02-19
42714418-46b1-454a-8967-82fbc4170ebd,Bethany Mccoy,halldiamond@cohen.org,083-044-0580x93511,"133 Hudson Village, Joneschester, LA 19254",08/22/1940,2730.76,2024-05-06
1149544e-2bc1-43fb-a906-5b41b9be1d00,Thomas Floyd,parksariana@yahoo.com,186-385-5881,"772 Patrick Path Apt. 053, Nicholsborough, OH 49710",05/19/1980,5406.12,2024-03-01
e6697833-b841-40a0-9fe7-71d6d9178793,Eric Ortiz,angela36@hotmail.com,(299)468-0443x6995,"387 Donna Haven Suite 134, Port James, AZ 32593",12/01/2005,5058.5,2024-07-03
111f1a28-46a1-419b-9238-b8048a8ce2d7,Jenna Hernandez,sheilabarnes@mason.biz,+1-566-706-3621,"5049 Maxwell Tunnel Suite 407, Myersborough, ME 79754",05/17/1991,7067.13,2024-03-14
143665f5-4c81-4260-b9ec-533c3c53090e,Scott Johnson,averyshane@stanton.com,6163294511,"548 Stark Bridge Suite 162, New Brianna, CT 14346",04/02/1977,8979.25,2024-10-29
fed747be-afd0-42f7-a352-44446f04af36,Zachary Henry,stacyhull@smith-walker.com,098.215.0648,"100 Robert Light, New Johnnyberg, UT 90382",11/08/1981,1105.39,2024-01-04
b1c12d4b-60d1-4c16-8855-817d31120678,Kyle Rowland,hinesbrenda@phillips.com,(897)317-9128,"8725 Fox Orchard Suite 749, Littleshire, AZ 27659",11/25/1953,4861.55,2024-12-13
a5eea4a2-2cde-431f-9dce-8d9b5d96120d,Andrea Fletcher,,,"8847 Marsh Square, East Patriciamouth, CO 51708",01/25/2000,2308.85,2024-03-10
2de94792-fd55-4844-8242-17c5c61371c1,Alyssa Mcfarland,christopher69@rush.info,(521)452-6471,"35157 Alexandria Brooks Apt. 805, East Aaronhaven, AL 43343",02/22/1965,2675.39,2024-04-28
c63ce21d-2443-4958-aacf-33a9b466fab6,Joseph Diaz,janet69@rogers.com,(675)289-5392,"20969 Ian Island Apt. 917, West Julie, MI 42380",05/21/1950,2473.81,2024-09-04
5953ff90-17ef-4203-ab4d-738c7657e37c,Marvin Mccullough,millerjessica@yahoo.com,001-636-515-5973x71470,"35909 Brown Valley Suite 673, East Mirandachester, KS 83821",12/12/1950,3963.9,2024-02-02
e35bba6d-bd39-409d-a67f-aa8371497c71,Lucas James,nicolehenry@hotmail.com,507-896-7935x21962,"55643 Roach Light, Yushire, SD 91934",05/14/1943,7090.76,2024-06-24
a8bb81dc-ab70-4385-ac81-4f559906d534,Louis Buchanan,gloriaward@hotmail.com,+1-537-982-1433,"75367 Randolph Mount Suite 249, West Davidfurt, OH 52022",03/09/1939,3858.1,2024-01-26
78bf46fa-2534-4e85-92c0-dec2175194d7,Jessica Brown,christopher06@mendez-meyer.org,2770384309,"205 Diana Estate, West Kimberlystad, MO 53644",11/05/1978,8759.77,2024-03-18
c157a761-9162-46db-b5d2-bf7f764d7e7c,Christina Collier,twilliams@hotmail.com,787-300-2447x1462,"14719 Perkins Port, Oneillfort, DE 49417",11/02/1973,9055.15,2024-10-11
26daf6d1-71c3-46be-9297-cb6658ab766f,Patrick Clark,,,"660 Hawkins Overpass Apt. 682, Lawsonville, MO 29114",05/05/1953,1489.46,2024-02-12
d82010d1-f4c8-43a7-9a94-7a40a32e3ab5,Thomas Garrison,joseph14@hotmail.com,001-673-938-5258,"06181 Bell Stream, Johnathanton, RI 12551",10/31/1942,2019.5,2024-08-18
e1ea1d2e-9874-4952-93ed-4b5c2c4276b2,Jill Floyd,sean64@little.com,(120)384-3753,"078 Beltran Roads Apt. 548, West David, OH 91558",01/29/1990,8915.34,2024-03-31
1da9c3c5-c798-4498-899d-58308d676a99,tAMMY pRICE,AMYGONZALEZ@HOTMAIL.COM,(153)701-2424X46263,"44881 tONYA wELL aPT. 031, tAMMYVILLE, nv 44741",1947-03-24,3010.22,2024-07-13
0a7be6e7-7430-4ccc-83fd-dd084b73361f,Roger Martinez,adam50@gmail.com,254-882-1423x691,"5366 Rasmussen Courts, Samanthaport, OK 57624",02/28/1985,7038.36,2024-12-06
3ae28de8-2f63-462d-83d0-ac191df1f0f5,Aaron Brown,hhamilton@gmail.com,8987610814,"40384 Santos Row Apt. 980, Hillside, DC 26058",05/21/1960,5483.24,2024-04-30
ed3353fc-692c-4aae-84ed-98e280714c8a,Holly Good,daniel71@gmail.com,001-847-818-9137x1894,"077 Berry Isle Suite 544, North Heather, WA 40356",06/06/1988,2125.86,2024-10-31
ee6fc3f3-ca5e-4705-91f8-0fcf03acc634,Jeff Diaz,amanda09@yahoo.com,533-890-6235x4662,"5401 Chen Rapids, Jeremyton, UT 89009",12/01/1967,5958.57,2024-03-03
3415c076-801c-4617-a2c3-b917d8a5aa52,Brenda Fernandez,amandahenderson@hayes.org,200-749-4653x9840,"1612 Johns Fords, Nicolemouth, KS 99158",02/15/1987,5507.75,2024-06-24
6d7ce3c9-b4a6-4f3c-8d3a-ed99711c21c9,Ashley Landry,davenportbrandi@jordan.com,(053)315-8692x322,"56342 Patrick Camp, Walkermouth, ME 30332",02/17/1954,307.67,2024-01-10
461de017-1ee9-4d3b-902f-4f5c55e39295,Jason Horton,lsanchez@anderson.org,(207)100-2194x6723,"763 Cheryl Camp Apt. 791, Michaeltown, IA 25654",12/16/1946,5180.58,2024-07-24
743480a1-e212-47e1-8f63-c2bbae411155,Jeffery Nunez,ryan64@frazier.info,(803)046-8750x635,"361 James Isle, Bryanville, NJ 57117",12/13/1993,8361.92,2024-01-10
36ea525d-e0d7-48bb-880b-f99ff00c4cc5,honathan Hale,jonqskevin@hotmail.com,359-928-55e5,"05610 Rick Oval Apt. 069, Hahnside, CA 721a2",04/15/1965,784.06,2024-10-05
12fcff49-e269-4a73-8b2d-fd839b5de3c9,Juan Morgan,jose82@williams.com,(318)297-1681,"2450 Kathy Tunnel Apt. 001, Frederickshire, CO 90672",12/02/1951,14.06,2024-07-05
e1a62208-a1f4-4627-be83-e81593758195,sTEPHANIE wALTER,DAVIDBAKER@DAWSON.COM,(021)288-6652X68341,"991 cHARLES kNOLL sUITE 676, kATHERINEBERG, hi 95358",1991-01-31,2043.94,2024-08-16
5fcf5c27-c68e-47b0-987d-b9478e2b4d2c,Christopher Garcia,,,"903 Katrina Land Suite 580, Melendezbury, NM 25138",12/21/1941,8832.23,2024-03-23
de12dbf1-493d-4196-8926-a02119da8262,Hailey Jenkins,earmstrong@gmail.com,(462)996-0653,"5054 Ramirez Overpass Apt. 324, Schroedermouth, VA 55128",02/17/1980,4000.01,2024-09-07
4b4d1079-2d5f-40d9-99bb-5bf09b639a38,Patrick Jackson,,,"35331 Robert Bridge Suite 313, Port Maryburgh, GA 06269",04/01/1967,7842.87,2024-07-18
afd13425-dde2-434c-9e3a-7063284baa23,Toni Ortiz,wilsonkelsey@davis.com,(019)072-5873,"49366 Clark Bridge, South Debra, ME 68788",01/05/1946,6564.02,2024-02-28
c157a761-9162-46db-b5d2-bf7f764d7e7c,Christina Cvllier,,,"14719 Perkins Port, Oneillfort, DE 4941z",11/02/1973,9055.15,2024-10-11
5982aa44-5573-48cf-8ba5-605069fe99a9,Marcia Smith,jonathan14@hunter-nguyen.com,556-990-2355,"PSC 7702, Box 7278, APO AA 61117",04/24/1992,7608.42,2024-11-12
c9230c64-c006-4b5b-b678-39b222b5f457,znthony Ramirez,johndawsoncjuarez.biz,294.667.1168x457c,"175 Laura Locks, SouthiMallory, KY 42819",1995-05-01,330.68,2024-04-20
27dfc6e0-84c4-49b1-a0c1-3845025fc70f,John Williams,nathan62@thompson-mayer.com,001-251-207-3465x4950,"70260 Farmer Stravenue Apt. 210, Phyllisland, CA 15234",11/18/2004,9299.51,2024-07-03
e1228e75-4719-4f5c-b69b-d5963f10938c,Brianna Alvarez,andrew90@hotmail.com,+1-034-864-5183x76064,"3275 Mccormick Harbor, Port Kimberlyfort, WA 54628",01/04/2002,978.34,2024-11-22
7e4c410b-d875-44bf-9564-d4c1aedb4262,Jeremy Haynes,martindavid@hart.biz,8581670468,"14576 Rebecca Wells, North Andrew, OK 24984",03/10/1984,7288.17,2024-03-17
6c6e8796-893e-4b89-9adf-c49942e4bf01,Lisa Braun,robertbowers@yahoo.com,(588)744-9562,"372 Jason Locks, Laurenton, MS 83846",04/28/1939,9538.62,2024-11-08
521ba1e4-92e7-4c57-8b53-e1aedaed71e5,Austin Conley,monicaduncan@johnson.org,(950)143-7483,"96713 Davis Crescent, South Brandon, VA 20396",10/29/1946,2447.4,2024-03-21
50885581-0c4c-4edf-8bb1-b9847bdac670,Eric Hooper,uporter@yahoo.com,001-521-568-1820x9679,"2271 Stephanie Fort, Port Erin, WI 94683",12/02/1949,2050.55,2024-07-13
a05be230-6603-454f-8868-3cbfaa0be687,Gary Jones,griffinalexandra@scott.com,001-337-209-4841x312,"33997 Garcia Tunnel, West Kristyland, NJ 15758",01/12/1969,8990.26,2024-02-02
681de32b-05e6-4708-8874-688e54a3e5ae,Ernest Walker,chapmanpaul@cunningham-jensen.info,119.529.6353x059,"55128 Steven Spring, South Kevin, MD 80989",09/11/1958,3524.07,2024-07-22
7fb32568-9594-4ea8-8381-6e47df3c5c8a,Whitney Barker,jcolon@hotmail.com,(772)881-3770,"96115 Williams Drives Apt. 545, Kellytown, FL 19131",04/19/1992,2505.57,2024-08-16
b362c0d2-6498-4bde-8d02-54dbed1115d7,Erika Chavez,hardingderek@rodriguez.com,(185)374-7411x24903,"13568 Erica Green Apt. 067, North Steven, WY 18823",03/24/1947,3962.36,2024-01-05
198d13a4-0cd2-4e43-b6da-e194439db29d,Shelly Phelps,ronald11@gmail.com,2255794155,"7467 Banks Union Apt. 120, North Robert, NJ 75073",02/15/1985,7922.87,2024-06-19
f5cca86b-92e9-4aa7-b7b8-a5e480a5fe0d,Courtney Nicuols,beardderrick@foster-hernapdez.net,991.609.11y1x319,"PSC 3592,hBox 3613, APO AE 62774",12/09/1987,4570.05,2024-06-07
